check_id,source_id,source_category,title_or_source_title,year,current_status,priority_level,why_priority,manual_task_type,specific_questions_to_answer,evidence_dimension,expected_decision_after_check,needed_for_gap_claim,needed_for_variable_construction,needed_for_official_context,language_or_access_issue,where_to_check,do_not_do,risk_if_unchecked,next_action,notes
MFT_011,R02_NDL_088,academic_background,Considering pre-school education for foreign children and students (Saito ed. 2006),2006,verified_by_ndl_metadata (partial); in literature_matrix (background),P2_check_before_formal_lit_review,childcare/pre-school service-access background,full_text_reading,Empirical content or report only? Tokyo relevance? Use as service/childcare background?,foreign_residents; service; education,use_as_background_only,no,no,partial,Japanese report; library access,NDL book record R100000002-I000008318866,do not download or commit the PDF; do not assert a gap from the abstract,minor,confirm content type,non-empirical report
MFT_012,R02_NDL_068,academic_literature,"Language life of Brazilian residents in Soja City, Okayama; Japanese-learning support (Nakato 2014)",2014,verified_by_doi_and_metadata; in literature_matrix (comparator),P2_check_before_formal_lit_review,"non-Tokyo, non-Chinese service/language-support comparator",translation_check,Confirm Okayama/Brazilian scope; transferable service/language-support concepts for the Tokyo case?,foreign_residents; service; language; okayama(not_tokyo),use_as_background_only,no,no,no,Japanese,J-STAGE / OpenAlex (DOI 10.19024/jajls.17.1_36),do not download or commit the PDF; do not assert a gap from the abstract,minor,skim/translate as comparator,DOI/year confirmed via OpenAlex
MFT_013,R02_OFF_TGT_001,official_data_source,e-Stat: portal of official statistics of Japan,NA,verified_by_official_catalogue,P1_must_check_before_intro,foreign-resident population baseline / denominators for the population layer,license_or_data_usability_check,Which tables give Chinese/foreign population by ward/municipality? Geographic granularity? Time coverage? Licensing/redistribution terms? Download/format usability?,population; comparison,use_for_variable_construction,no,yes,yes,open portal; terms/format to confirm,https://www.e-stat.go.jp/ catalogue pages,do not download the dataset/large files; do not commit data,building variables on unusable or misattributed data,identify exact tables and confirm license/format,population baseline; can disaggregate by nationality
MFT_014,R02_OFF_TGT_002,official_data_source,Immigration Services Agency: Statistics on foreign residents (by nationality),NA,verified_by_official_catalogue,P1_must_check_before_intro,official Chinese counts by nationality and area,license_or_data_usability_check,Granularity (prefecture/municipality)? Nationality breakdown incl. Chinese? Time series? Licensing and format usability?,population; comparison,use_for_variable_construction,no,yes,yes,open page; terms/format to confirm,ISA statistics page (moj.go.jp/isa),do not download the dataset/large files; do not commit data,population denominators by nationality unverified,confirm nationality/area tables and license,core Chinese-resident population source
MFT_015,R02_OFF_TGT_005,official_spatial_data,MLIT National Land Numerical Information download site,NA,verified_by_official_catalogue,P1_must_check_before_intro,national GIS layers for accessibility and exposure construction,license_or_data_usability_check,"Which layers (boundaries, railways/stations, land use, facilities, hazard)? Coordinate system? Vintage? License and format usability?",spatial; transit_accessibility,use_for_variable_construction,no,yes,yes,open catalogue; terms/format to confirm,https://nlftp.mlit.go.jp/ksj/ layer pages,do not download the dataset/large files; do not commit data,accessibility/exposure layers infeasible or mis-specified,select layers and confirm license/CRS,key spatial-data catalogue
MFT_016,R02_OFF_TGT_006,official_spatial_data,GSI Maps (Geospatial Information Authority of Japan),NA,verified_by_official_page,P1_must_check_before_intro,authoritative basemaps and geocoding reference,license_or_data_usability_check,Basemap/tile usage terms? Geocoding API terms? Attribution requirements? Any reuse limits?,spatial,use_for_data_feasibility,no,yes,yes,reachable via legacy-TLS; terms to confirm,https://www.gsi.go.jp/ (terms-of-use pages),do not download the dataset/large files; do not commit data,basemap/geocoding licensing unconfirmed,read GSI terms of use,reachability re-verified (HTTP 200)
MFT_017,R02_OFF_TGT_010,official_disaster_or_risk_context,Tokyo Metropolitan Government Disaster Prevention website,NA,verified_by_official_page,P1_must_check_before_intro,Tokyo disaster prevention + multilingual disaster information,official_page_manual_verification,What hazard/evacuation information and multilingual scope? Any downloadable data vs guidance only? Tokyo-specific coverage?,disaster; multilingual,use_for_policy_context,no,partial,yes,Japanese pages; multilingual sections,https://www.bousai.metro.tokyo.lg.jp/,do not scrape the site; do not use browser automation; do not commit screenshots,overstating disaster-data availability,inventory hazard/evacuation/multilingual scope,risk-communication context
MFT_018,R02_OFF_TGT_011,official_disaster_or_risk_context,Hazard Map Portal Site (MLIT/GSI),NA,verified_by_official_catalogue,P1_must_check_before_intro,hazard-exposure layer for Tokyo-region municipalities,license_or_data_usability_check,Which hazard layers are downloadable vs view-only? Coverage by Tokyo-region municipality? License and data usability?,disaster; spatial,use_for_variable_construction,no,yes,yes,reachable; data terms to confirm,https://disaportal.gsi.go.jp/,do not download the dataset/large files; do not commit data,exposure layer infeasible or mis-licensed,confirm downloadable hazard layers and license,reachability re-verified (HTTP 200)
MFT_019,R02_OFF_TGT_013,quasi_official_service_infrastructure,Tokyo Metropolitan Foundation TSUNAGARI / multilingual living information,NA,hold_for_manual_check (live page not reachable in automated env; TLS),P1_must_check_before_intro,core Tokyo multilingual service infrastructure but reachability unconfirmed,official_page_manual_verification,Confirm the live URL and stable pages; what multilingual living-information resources exist; relationship to Tokyo Metropolitan Government?,service; multilingual,use_for_service_context,no,no,yes,TLS handshake failed in sandbox; open in a normal browser,https://www.tsunagari-tokyo.jp/ (manual browser),do not scrape the site; do not use browser automation; do not commit screenshots,citing an unreachable/uncertain service source,open in browser; identify stable multilingual-resource pages,kept hold from official-source verification pass
MFT_020,R02_OFF_TGT_004,official_data_source,Tokyo statistics / population of Tokyo (estimates),NA,verified_by_official_catalogue,P2_check_before_formal_lit_review,Tokyo ward/municipality population layer,license_or_data_usability_check,Ward/municipality granularity? Foreign-resident breakdown? Time coverage? License/format?,population,use_for_variable_construction,no,yes,yes,Japanese portal; format to confirm,https://www.toukei.metro.tokyo.lg.jp/,do not download the dataset/large files; do not commit data,Tokyo population layer unverified,confirm tables and format,complements e-Stat/ISA
MFT_021,R02_OFF_TGT_007,official_policy_context,Tokyo Metropolitan Government Bureau of Housing Policy,NA,verified_by_official_page,P2_check_before_formal_lit_review,public-housing policy and consultation context,policy_context_check,What public (Toei) housing and housing-support/consultation context is documented? Any foreign-resident-specific provisions?,housing; public_housing,use_for_policy_context,no,partial,yes,Japanese pages,https://www.juutakuseisaku.metro.tokyo.lg.jp/,do not scrape the site; do not use browser automation; do not commit screenshots,overstating housing-policy specifics,summarize public-housing context,"context, not analysis"
MFT_022,R02_OFF_TGT_016,quasi_official_service_infrastructure,CLAIR Multicultural Coexistence Portal,NA,verified_by_official_page,P2_check_before_formal_lit_review,national municipal multicultural/multilingual context,service_infrastructure_check,What multicultural/multilingual municipal resources are provided? Relevance to Tokyo-region municipalities?,service; multilingual,use_for_service_context,no,no,yes,Japanese pages,https://www.clair.or.jp/,do not scrape the site; do not use browser automation; do not commit screenshots,minor,summarize municipal multilingual resources,live portal complementing the CLAIR periodical R02_NDL_OFF_002
MFT_023,R02_NDL_OFF_002,official_policy_context,CLAIR periodical (Jichitai Kokusaika Forum),2005,verified_by_institution_metadata,P2_check_before_formal_lit_review,municipal multilingual/multicultural policy and practice context,policy_context_check,Which issues/articles are relevant to municipal multilingual/foreign-resident support in the Tokyo region? Access/availability?,service; multilingual,use_for_policy_context,no,no,partial,Japanese periodical; NDL access,NDL record R100000002-I000000100941-i10262576,do not download or commit the PDF; do not assert a gap from the abstract,minor,identify relevant issues,complements live CLAIR portal R02_OFF_TGT_016
