record_id,source_category,source_platform_or_registry,title_or_source_title,year,verified_status,matrix_or_registry_location,evidence_role,covers_chinese_residents,covers_foreign_residents,covers_tokyo_or_metropolitan_tokyo,covers_japan,covers_chinese_vs_non_chinese_comparison,covers_housing,covers_public_housing_or_housing_policy,covers_transit_accessibility,covers_service_accessibility,covers_multilingual_or_admin_services,covers_education_childcare_welfare_health,covers_disaster_or_risk_exposure,covers_arrival_or_settlement_infrastructure,covers_spatial_method_or_gis,covers_opportunity_risk_typology_or_mismatch,covers_full_combination,strength_for_project,limitation,next_action,notes
R02_CINII_001 / R02_JSTAGE_002,academic_literature,CiNii + J-STAGE (DOI 10.24528/lifology.40.0_54),Wang & Fujii 2021: living conditions/community involvement of highly-educated Chinese-nationality residents in two Greater Tokyo public-housing estates,2021,verified_by_doi_and_metadata,gap_verification_matrix.csv + literature_matrix.csv,direct_partial_overlap,yes,yes,yes,yes,no,yes,yes,no,partial,no,no,no,partial,no,no,no,high_partial,qualitative two-estate case; single module; full text not read,translate/read,strongest Chinese + Tokyo + (public) housing record
R02_CINII_022,academic_literature,CiNii + J-STAGE (DOI 10.4157/grj.93.1),"Zhang 2020: housing purchase motives/preference of Chinese white-collar residents, Tokyo metropolitan area",2020,verified_by_doi_and_metadata,gap_verification_matrix.csv + literature_matrix.csv,direct_partial_overlap,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,partial,no,no,no,high_partial,"qualitative (n=22), owner-occupier subset; full text not read",deeper verification/read,Chinese-specific housing choice in metro Tokyo
R02_CINII_018,academic_literature,CiNii/NDL (R02),"Takamatsu 2020: formation factors of Nishikawaguchi Chinatown, Tokyo region (Kawaguchi, Saitama)",2020,verified_by_cinii_metadata (partial),gap_verification_matrix.csv + literature_matrix.csv,direct_partial_overlap,yes,yes,yes,yes,no,partial,no,no,no,no,no,no,partial,no,no,no,medium_partial,single-district case (Saitama); full text not read,verify,Chinese concentration area in the Tokyo region
R02_NDL_043,academic_literature,"NDL (book, Keio Univ Press)",Kim 2026: empirical analysis of residential disparity for migrants in Japan's housing market,2026,verified_by_ndl_metadata,gap_verification_matrix.csv + literature_matrix.csv,housing_module_support,no,yes,no,yes,unclear,yes,partial,no,no,no,no,no,unclear,no,no,no,medium_partial,Japan-wide; not Chinese/Tokyo-specific; full text not read,read,recent migrant housing-disparity book
R02_CINII_019,academic_background,CiNii (DOI 10.4157/grj1984a.73.9_694),Abe 2000: exclusion of Chinese workers and decline of concentration districts in early-Showa Tokyo and periphery,2000,verified_by_doi,literature_matrix.csv,historical_background,yes,yes,yes,yes,no,partial,no,no,no,no,no,no,no,no,no,no,background,historical (1920s-30s); archival/qualitative,background,historical Chinese concentration/exclusion in Tokyo
R02_JSTAGE_007,academic_background,J-STAGE (DOI 10.4200/jjhg1948.51.23),Abe 1999: occupational structure and residential differentiation of Chinese workers in 1920s Tokyo Prefecture,1999,verified_by_doi_and_metadata,literature_matrix.csv,historical_background,yes,yes,yes,yes,no,partial,no,no,no,no,no,no,no,no,no,no,background,historical (1920s); single module,background,historical residential differentiation
R02_JSTAGE_011,academic_literature,J-STAGE (DOI 10.4200/jjhg.78.01_023),"Wang 2026: dispersed residence and ethnic community among Chinese newcomers, Shinsaibashi, Osaka",2026,verified_by_doi_and_metadata,literature_matrix.csv,comparative_background,yes,yes,no,yes,no,partial,no,no,no,no,no,no,partial,no,no,no,comparative_background,"Osaka, not Tokyo; comparator only",comparator,non-Tokyo Chinese-newcomer residence comparator
R02_NDL_087,academic_background,"NDL (report, Tokyo Gakugei Univ)",Saito (ed.) 2006: forum on the education of foreign children and students (report),2006,verified_by_ndl_metadata (partial),literature_matrix.csv,service_module_support,no,yes,partial,yes,no,no,no,no,yes,partial,yes,no,no,no,no,no,background,non-empirical report; not Chinese-specific,background,education service-access background
R02_NDL_088,academic_background,"NDL (book/report, Tokyo Gakugei Univ)",Saito (ed.) 2006: considering pre-school education for foreign children and students,2006,verified_by_ndl_metadata (partial),literature_matrix.csv,service_module_support,no,yes,partial,yes,no,no,no,no,yes,partial,yes,no,no,no,no,no,background,non-empirical report; not Chinese-specific,background,childcare/pre-school service-access background
R02_NDL_068,academic_literature,OpenAlex+NDL (DOI 10.19024/jajls.17.1_36),"Nakato 2014: language life of Brazilian residents in Soja City, Okayama; Japanese-learning support",2014,verified_by_doi_and_metadata,literature_matrix.csv,comparative_background,no,yes,no,yes,no,no,no,no,partial,partial,partial,no,no,no,no,no,comparative_background,"Okayama (not Tokyo), Brazilian (not Chinese)",comparator,"non-Tokyo, non-Chinese service/language-support comparator"
R02_OFF_TGT_001,official_data_source,official_source_registry.csv,e-Stat: portal of official statistics of Japan,NA,verified_by_official_catalogue,official_source_registry.csv,population_data_support,partial,yes,partial,yes,partial,no,no,no,no,no,no,no,no,partial,no,no,official_data_support,not analysis; licensing/format to confirm,license/format check,"use_in_analysis=official_population_data; official source - context/data only, not academic evidence"
R02_OFF_TGT_002,official_data_source,official_source_registry.csv,ISA: Statistics on foreign residents (by nationality),NA,verified_by_official_catalogue,official_source_registry.csv,population_data_support,partial,yes,partial,yes,partial,no,no,no,no,no,no,no,no,partial,no,no,official_data_support,not analysis; licensing/format to confirm,license/format check,"use_in_analysis=official_population_data; official source - context/data only, not academic evidence"
R02_OFF_TGT_003,official_data_source,official_source_registry.csv,MIC: population based on the Basic Resident Register (incl. foreign residents),NA,verified_by_official_catalogue,official_source_registry.csv,population_data_support,partial,yes,partial,yes,partial,no,no,no,no,no,no,no,no,partial,no,no,official_data_support,not analysis; licensing/format to confirm,license/format check,"use_in_analysis=official_population_data; official source - context/data only, not academic evidence"
R02_OFF_TGT_004,official_data_source,official_source_registry.csv,Tokyo statistics / population of Tokyo (estimates),NA,verified_by_official_catalogue,official_source_registry.csv,population_data_support,partial,yes,yes,yes,partial,no,no,no,no,no,no,no,no,partial,no,no,official_data_support,not analysis; licensing/format to confirm,license/format check,"use_in_analysis=official_population_data; official source - context/data only, not academic evidence"
R02_OFF_TGT_005,official_spatial_data,official_source_registry.csv,MLIT National Land Numerical Information download site,NA,verified_by_official_catalogue,official_source_registry.csv,spatial_data_support,no,yes,partial,yes,no,no,no,partial,no,no,no,no,no,yes,no,no,official_data_support,dataset not downloaded; usability/license to confirm,license/format check,"use_in_analysis=official_spatial_data; official source - context/data only, not academic evidence"
R02_OFF_TGT_006,official_spatial_data,official_source_registry.csv,GSI Maps (Geospatial Information Authority of Japan),NA,verified_by_official_page,official_source_registry.csv,spatial_data_support,no,yes,partial,yes,no,no,no,no,no,no,no,no,no,yes,no,no,official_data_support,basemap; usability/license to confirm,license/data usability check,"use_in_analysis=official_spatial_data; official source - context/data only, not academic evidence"
R02_OFF_TGT_007,official_policy_context,official_source_registry.csv,Tokyo Metropolitan Government Bureau of Housing Policy,NA,verified_by_official_page,official_source_registry.csv,official_context_support,no,yes,yes,yes,no,partial,yes,no,no,no,no,no,no,no,no,no,official_context_support,"policy context, not analysis",inventory public-housing data,"use_in_analysis=housing_policy_context; official source - context/data only, not academic evidence"
R02_OFF_TGT_008,quasi_official_service_infrastructure,official_source_registry.csv,Urban Renaissance Agency (UR rental housing),NA,verified_by_official_page,official_source_registry.csv,official_context_support,no,yes,partial,yes,no,partial,yes,no,no,no,no,no,no,no,no,no,official_context_support,quasi-official housing provider; context only,inventory UR estate data,"use_in_analysis=housing_policy_context; official source - context/data only, not academic evidence"
R02_OFF_TGT_009,quasi_official_service_infrastructure,official_source_registry.csv,JKK Tokyo (Tokyo Metropolitan Housing Supply Corporation),NA,verified_by_official_page,official_source_registry.csv,official_context_support,no,yes,yes,yes,no,partial,yes,no,no,no,no,no,no,no,no,no,official_context_support,quasi-official; context only,inventory JKK data,"use_in_analysis=housing_policy_context; official source - context/data only, not academic evidence"
R02_OFF_TGT_010,official_disaster_or_risk_context,official_source_registry.csv,Tokyo Metropolitan Government Disaster Prevention website,NA,verified_by_official_page,official_source_registry.csv,disaster_risk_module_support,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,partial,no,no,official_context_support,"portal/policy context, not analysis",extract multilingual disaster info scope,"use_in_analysis=disaster_or_risk_context; official source - context/data only, not academic evidence"
R02_OFF_TGT_011,official_spatial_data,official_source_registry.csv,Hazard Map Portal Site (MLIT/GSI),NA,verified_by_official_catalogue,official_source_registry.csv,disaster_risk_module_support,no,yes,partial,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,official_data_support,hazard data not downloaded; usability/license to confirm,license/data usability check,"use_in_analysis=disaster_or_risk_context; official source - context/data only, not academic evidence"
R02_OFF_TGT_012,official_policy_context,official_source_registry.csv,Cabinet Office Disaster Management website,NA,verified_by_official_page,official_source_registry.csv,disaster_risk_module_support,no,yes,partial,yes,no,no,no,no,no,no,no,yes,no,partial,no,no,official_context_support,national policy context,risk-policy interpretation,"use_in_analysis=disaster_or_risk_context; official source - context/data only, not academic evidence"
R02_OFF_TGT_013,quasi_official_service_infrastructure,official_source_registry.csv,Tokyo Metropolitan Foundation TSUNAGARI / multilingual living information,NA,hold_for_manual_check,official_source_registry.csv,held_for_manual_check,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,hold,live page not reachable in automated env (TLS),manual browser check,"use_in_analysis=multilingual_administrative_context; official source - context/data only, not academic evidence"
R02_OFF_TGT_014,quasi_official_service_infrastructure,official_source_registry.csv,Tokyo International Communication Committee (TICC),NA,verified_by_official_page,official_source_registry.csv,official_context_support,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,official_context_support,"service context, not analysis",inspect resources,"use_in_analysis=multilingual_administrative_context; official source - context/data only, not academic evidence"
R02_OFF_TGT_015,official_service_context,official_source_registry.csv,ISA Support Portal for Foreign Residents,NA,verified_by_official_page,official_source_registry.csv,official_context_support,no,yes,partial,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,official_context_support,national multilingual portal; context only,inspect service scope,"use_in_analysis=multilingual_administrative_context; official source - context/data only, not academic evidence"
R02_OFF_TGT_016,quasi_official_service_infrastructure,official_source_registry.csv,CLAIR Multicultural Coexistence Portal,NA,verified_by_official_page,official_source_registry.csv,official_context_support,no,yes,partial,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,official_context_support,national municipal context,inspect resources,"use_in_analysis=multilingual_administrative_context; official source - context/data only, not academic evidence"
R02_OFF_TGT_017,official_service_context,official_source_registry.csv,MEXT CLARINET: education for foreign children,NA,verified_by_official_page,official_source_registry.csv,official_context_support,no,yes,partial,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,official_context_support,education policy/resource context,inspect education resources,"use_in_analysis=health_welfare_education_context; official source - context/data only, not academic evidence"
R02_OFF_TGT_018,official_service_context,official_source_registry.csv,MHLW: foreign-resident health/welfare/labour information,NA,verified_by_official_page,official_source_registry.csv,official_context_support,no,yes,partial,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,official_context_support,broad ministry; specific pages to confirm,locate specific sub-pages,"use_in_analysis=health_welfare_education_context; official source - context/data only, not academic evidence"
R02_OFF_TGT_019,official_policy_context,official_source_registry.csv,Saitama Prefecture multicultural / foreign-resident support,NA,verified_by_official_page,official_source_registry.csv,official_context_support,no,yes,partial,yes,no,no,no,no,partial,partial,no,no,no,no,no,no,official_context_support,prefectural portal root; specific page to confirm,find multicultural sub-page,"use_in_analysis=municipal_context_source; official source - context/data only, not academic evidence"
R02_OFF_TGT_020,official_policy_context,official_source_registry.csv,Chiba Prefecture multicultural / foreign-resident support,NA,verified_by_official_page,official_source_registry.csv,official_context_support,no,yes,partial,yes,no,no,no,no,partial,partial,no,no,no,no,no,no,official_context_support,prefectural portal root; specific page to confirm,find multicultural sub-page,"use_in_analysis=municipal_context_source; official source - context/data only, not academic evidence"
R02_OFF_TGT_021,quasi_official_service_infrastructure,official_source_registry.csv,Kanagawa International Foundation (KIF),NA,verified_by_official_page,official_source_registry.csv,official_context_support,no,yes,partial,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,official_context_support,quasi-official; context only,inspect resources,"use_in_analysis=multilingual_administrative_context; official source - context/data only, not academic evidence"
R02_NDL_OFF_002,official_policy_context,official_source_registry.csv,CLAIR periodical (Jichitai Kokusaika Forum),2005,verified_by_institution_metadata,official_source_registry.csv,official_context_support,no,yes,partial,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,official_context_support,periodical; context only,use as municipal multilingual context,"use_in_analysis=service_infrastructure_context; official source - context/data only, not academic evidence"
R02_NDL_OFF_001,official_policy_context,official_source_registry.csv,MOJ Civil Affairs directive on adoption registration (Chinese couple),2010,weak_relevance,official_source_registry.csv,weak_background,partial,partial,partial,yes,no,no,no,no,no,no,no,no,no,no,no,no,weak,off-topic (family-registration law),low priority; optional check,"use_in_analysis=weak_background_only; official source - context/data only, not academic evidence"
