source_id,Chinese_citation_label,Japanese_or_English_title,author,year,source_type,language,topic_category,Japan_relevance,Tokyo_relevance,China_or_Chinese_resident_relevance,method_relevance,application_section_target,how_to_use_in_application,risk_if_used,verification_status,recommended_use,notes
MJL_B02,Lim 等(2024):东京丰岛区外国居民居住满意度与定居,"Factors enhancing residential satisfaction of foreign residents toward settlement: a case study of Toshima City, Tokyo",Lim et al.,2024,journal_article,English,B_foreign_resident_distribution,high,high,medium,medium,section_1_value_and_literature,Links the settlement environment to residential satisfaction for foreign residents in a Tokyo ward; supports settlement-environment framing,low,verified,supporting_citation,DOI 10.1007/s10901-024-10160-3; single-ward case; not Chinese-specific; repo id R01_RB_007
MJL_B03,金(2026):移民居住何处——日本住宅市场居住格差的实证分析(专著),"「移民」の住む場所：日本の住宅市場における居住格差の実証分析 (Where Migrants Live, Keio University Press)",Kim (金),2026,book,Japanese,B_foreign_resident_distribution,high,medium,medium,medium,section_1_value_and_literature,Recent empirical book on immigrant residential disparity in Japan's housing market; anchors the residential-differentiation literature,medium,partially_verified,supporting_citation,NDL R100000002-I034507615; Keio University Press 2026; no DOI; Japan-wide not Chinese/Tokyo-specific; full text not read; repo id R02_NDL_043
MJL_C01,Sugasawa & Harano(2023):东京23区租赁住宅市场对外国人歧视的实地实验,A field experiment on discrimination against foreigners in the rental housing market in Japan examining the 23 wards,Sugasawa & Harano,2023,journal_article,English,C_urban_opportunity_structure,high,high,medium,high,section_1_value_and_literature,Experimental evidence of rental-housing discrimination against foreigners in Tokyo's 23 wards; anchors the housing-constraint mechanism,low,verified,core_citation,"DOI 10.1016/j.jjie.2023.101273; foreigner-vs-native, not Chinese-isolated; repo id R01_RB_005"
MJL_C02,Suzuki 等(2022):东京民营租赁市场对非典型租客的歧视,Discrimination against the atypical type of tenants in the Tokyo private rental housing market,Suzuki et al.,2022,journal_article,English,C_urban_opportunity_structure,high,high,medium,high,section_1_value_and_literature,Complements the housing-discrimination evidence base for the Tokyo private rental market,medium,verified,supporting_citation,DOI 10.1016/j.jhe.2022.101879; degree of foreign-tenant focus to confirm in full text; repo id R01_RB_006
MJL_C03,Sugasawa & Harano(2026):东京租赁市场交易阶段与管理阶段歧视的区分,Disentangling transaction-stage and management-stage discrimination in the rental housing market: evidence from a correspondence experiment in Tokyo,Sugasawa & Harano,2026,journal_article,English,C_urban_opportunity_structure,high,high,medium,high,section_1_value_and_literature,Most recent housing-discrimination comparator; deepens the housing-constraint mechanism with a transaction/management distinction,medium,verified,supporting_citation,DOI 10.1016/j.jhe.2026.102134; target group (incl. Chinese applicants?) to confirm in full text; repo id R01_RB_013
MJL_D01,Mori(1997):面向外国居民的行政服务(书章),Administrative Services for Foreign Residents (chapter in Immigration Policy and Foreign Workers in Japan),Mori,1997,book_chapter,English,D_multicultural_support_infrastructure,high,low,low,none,general_background,Historical lineage of administrative services / support policy for foreign residents in Japan; background only,low,verified,background_context,"DOI 10.1057/9780230374522_8; dated (1997), Japan-wide; repo id R01_RB_011"
MJL_D02,中藤(2014):冈山县总社市巴西居民的语言生活与日语学习支援(比较),岡山県総社市に暮らすブラジル人住民の言語生活：外国人住民の日本語学習支援を考える,Nakato (中藤),2014,journal_article,Japanese,D_multicultural_support_infrastructure,high,low,none,low,general_background,"Non-Tokyo, non-Chinese comparator on language-support services; background for the service-access module only",medium,verified,background_context,"DOI 10.19024/jajls.17.1_36; Soja City Okayama, Brazilian residents; repo id R02_NDL_068"
MJL_D03,斋藤编(2006):外国人儿童生徒教育论坛报告书,"外国人児童生徒教育フォーラム：報告書 (Tokyo Gakugei University, Center for International Education)",Saito (ed.) (斋藤编),2006,government_report,Japanese,D_multicultural_support_infrastructure,medium,low,low,none,general_background,Background on education-service access for foreign children; non-empirical forum report,medium,partially_verified,background_context,NDL R100000001-I2711B12473132; no DOI; non-empirical; repo id R02_NDL_087
MJL_D04,斋藤编(2006):思考外国人儿童生徒的学前教育,"外国人児童生徒の就学前教育を考える (Tokyo Gakugei University, Center for International Education)",Saito (ed.) (斋藤编),2006,government_report,Japanese,D_multicultural_support_infrastructure,medium,low,low,none,general_background,Background on pre-school/childcare-service access for foreign children; non-empirical report,medium,partially_verified,background_context,NDL R100000002-I000008318866; no DOI; non-empirical; repo id R02_NDL_088
MJL_E01,Adu-Gyamfi & Shaw(2021):利用人口分布格局评估东京地区外国居民的灾害脆弱性,Utilizing Population Distribution Patterns for Disaster Vulnerability Assessment: Case of Foreign Residents in the Tokyo area,Adu-Gyamfi & Shaw,2021,journal_article,English,E_spatial_risk_disaster,high,high,medium,high,section_1_value_and_literature,Closest spatial disaster-vulnerability comparator for foreign residents in Tokyo; supports the spatial-risk-identification rationale and method,low,verified,core_citation,DOI 10.3390/ijerph18084061; foreign residents (not Chinese-specific); does not integrate housing/services/typology; repo id R01_RB_004
